itemName,itemUrl,itemProgress,itemProgresst
Excel数据处理思维,https://study.163.com/course/courseMain.htm?courseId=1005320012,,
策略性商务谈判中的谋略运用,https://study.163.com/course/courseMain.htm?courseId=716008,,
Excel2016从入门到精通【176节】,https://study.163.com/course/courseMain.htm?courseId=1005085018,0,0
Excel数组公式从入门到忘记,https://study.163.com/course/courseMain.htm?courseId=1004835010,,
Python数据分析,https://study.163.com/course/courseMain.htm?courseId=1004467007,0,0
微信小程序零基础制作入门,https://study.163.com/course/courseMain.htm?courseId=1004068042,,
18年Linux运维/零基础入门实战,https://study.163.com/course/courseMain.htm?courseId=956005,,
轻松读书2019直播（每周更新）,https://study.163.com/course/courseMain.htm?courseId=1208878841,,
微信小程序零基础到项目实战,https://study.163.com/course/courseMain.htm?courseId=1208961810,,
商业百年,https://study.163.com/course/courseMain.htm?courseId=1003164004,,
零基础学编程进入互联网高薪之路,https://study.163.com/course/courseMain.htm?courseId=1004515002,,
[160节]Excel函数基础到精通课程,https://study.163.com/course/courseMain.htm?courseId=1003791014,,
手机摄影从入门到高手全套教程,https://study.163.com/course/courseMain.htm?courseId=1005974003,0,0
《明朝那些事儿》精华解读,https://study.163.com/course/courseMain.htm?courseId=1006355060,,
Python数据科学入门,https://study.163.com/course/courseMain.htm?courseId=1005011010,,
《数据分析师Excel+SQL》体验课,https://mooc.study.163.com/learn/term/2402989001.htm,,
玩转无领导小组讨论,https://study.163.com/course/courseMain.htm?courseId=1003200011,,
结构化思维：高效能人士的思考习惯,https://study.163.com/course/courseMain.htm?courseId=982001,,
育才-如何培训才有效-达梦青山焱企业内训课程,https://study.163.com/course/courseMain.htm?courseId=1152017,,
30分钟学会Xmind8思维导图,https://study.163.com/course/courseMain.htm?courseId=1005279063,,
Redis视频（NoSQL数据库技术）,https://study.163.com/course/courseMain.htm?courseId=1003806066,,
EXCEL VBA基础入门,https://study.163.com/course/courseMain.htm?courseId=1003673044,0,0
Excel办公自动化——ExcelVBA,https://study.163.com/course/courseMain.htm?courseId=1002938006,0,0
魔鬼搭讪约会学,https://study.163.com/course/courseMain.htm?courseId=518003,,
恋爱学堂－最实用的恋爱教学（男士篇）,https://study.163.com/course/courseMain.htm?courseId=1002789010,,
中美贸易摩擦下企业的应对之策,https://study.163.com/course/courseMain.htm?courseId=1209333830,,
如何成为职业化员工,https://study.163.com/course/courseMain.htm?courseId=710006,,
【免费】跨界学习：学习方法探索,https://study.163.com/course/courseMain.htm?courseId=1005473002,,
轻松读书51：高效能人士的七个习惯,https://study.163.com/course/courseMain.htm?courseId=595021,,
交换法则,https://study.163.com/course/courseMain.htm?courseId=1002873002,,
无压生产力的艺术,https://study.163.com/course/courseMain.htm?courseId=1005532023,,
轻松读书62期：谈话的力量,https://study.163.com/course/courseMain.htm?courseId=781017,,
轻松拒绝的艺术,https://study.163.com/course/courseMain.htm?courseId=1240003,,
像现金流游戏一样理财,https://study.163.com/course/courseMain.htm?courseId=1005098007,,
挑战年薪20万：大型博客系统开发,https://study.163.com/course/courseMain.htm?courseId=1004720017,,
做项目学习Django2.0开发,https://study.163.com/course/courseMain.htm?courseId=1005359010,,
生活中的实用心理战术（视频版）,https://study.163.com/course/courseMain.htm?courseId=1547008,,
行动学习,https://study.163.com/course/courseMain.htm?courseId=854082,,
沟通获得好人缘,https://study.163.com/course/courseMain.htm?courseId=1209001,,
软件测试2小时入门,https://study.163.com/course/courseMain.htm?courseId=1004794006,,
软件测试管理工具禅道,https://study.163.com/course/courseMain.htm?courseId=1005114022,0,0
Django 框架深度剖析,https://study.163.com/course/courseMain.htm?courseId=1004642004,,
形态性格密码之M特点简析,https://study.163.com/course/courseMain.htm?courseId=1006086011,,
陪孩子读绘本的正确姿势,https://study.163.com/course/courseMain.htm?courseId=1005099007,0,0
Memcached合集篇,https://study.163.com/course/courseMain.htm?courseId=1004601018,0,0
《产品经理入门指南》入门方法,https://study.163.com/course/courseMain.htm?courseId=629001,,
从数据到管理：Excel仪表板制作,https://study.163.com/course/courseMain.htm?courseId=1004762006,,
如何快速搞定论文排版,https://study.163.com/course/courseMain.htm?courseId=1004995016,0,0
零基础素描入门课,https://study.163.com/course/courseMain.htm?courseId=1005425002,0,0
视频剪辑【更新中】,https://study.163.com/course/courseMain.htm?courseId=1006528030,0,0
平面设计广告设计就业实战系统课,https://study.163.com/course/courseMain.htm?courseId=1006536049,0,0
让PPT既快又好的9个小技巧,https://study.163.com/course/courseMain.htm?courseId=1006234009,,
大脑图像记忆核心原理,https://study.163.com/course/courseMain.htm?courseId=1208913804,,
松坡老师的投资大师清单课（初）,https://study.163.com/course/courseMain.htm?courseId=1208907803,,
Excel的世界观由此改变—《表格之道》免费版,https://study.163.com/course/courseMain.htm?courseId=359002,,
曾仕强老师教你中国式管理,https://study.163.com/course/courseMain.htm?courseId=704119,,
圆通的人际关系,https://study.163.com/course/courseMain.htm?courseId=716016,,
管理者如何做好角色定位,https://study.163.com/course/courseMain.htm?courseId=717006,,
商业灯光系统小课程,https://study.163.com/course/courseMain.htm?courseId=1209330009,,
叶檀的20堂投资实战课,https://study.163.com/course/courseMain.htm?courseId=1006462029,,
行动学习,https://study.163.com/course/courseMain.htm?courseId=1003596026,,
50万摄影爱好者的100个共通问题,https://study.163.com/course/courseMain.htm?courseId=1005461001,0,0
《产品经理深入浅出》夯实基础,https://study.163.com/course/courseMain.htm?courseId=382025,,
